Nome_Produto,Categoria,Sub_Categoria,Tipo,Preco_EUR,Descricao,Para_Que_Serve,Tecnologia,Disponibilidade,Ideal_Para_Influencer,Notas_Parceria
RF Facial Cream 500ml,Facial,Creme Facial,Creme,26.90,Creme facial firmador com radiofrequência 500ml,Firmeza e anti-envelhecimento facial,Radiofrequência,Disponível,Sim,Produto âncora da marca — excelente para gifting inicial
RF Facial Cream 1000ml,Facial,Creme Facial,Creme,38.90,Creme facial firmador com radiofrequência 1000ml,Firmeza e anti-envelhecimento facial,Radiofrequência,Disponível,Sim,Tamanho profissional — destaque em conteúdo de rotina
Serum Triphasic 100ml,Facial,Sérum,Sérum,32.90,Sérum trifásico anti-manchas,Manchas / Uniformização do tom de pele,,Disponível,Sim,Apela a público +35 preocupado com manchas solares
RF Cleanmas 1000ml,Facial,Limpeza,Limpador,26.90,Limpador 4 em 1 desmaquilhante com fórmula RF,Limpeza e preparação da pele para tratamento RF,Radiofrequência,Disponível,Sim,Produto de rotina diária — fácil de integrar em conteúdo
Collagenmas Máscara x5,Facial,Máscara,Máscara,15.90,Pack com 5 máscaras hidratantes e firmadoras de colagénio,Hidratação intensa e firmeza facial,Colagénio,Disponível,Sim,Produto acessível — bom para gifting e conteúdo de unboxing
Eyemas 30ml,Facial,Contorno dos Olhos,Creme,34.90,Tratamento específico para o contorno dos olhos,Olheiras / Pálpebras caídas / Rugas finas,,Disponível,Sim,Muito apelativo para público +35 — olhos são zona sensível desta faixa etária
Scrubmas Glow,Facial,Esfoliante,Esfoliante,34.90,Esfoliante facial iluminador,Renovação celular / Luminosidade,,Disponível,Sim,Bom para conteúdo de ritual de beleza semanal
Peptidmas 90 cápsulas,Facial,Suplemento Oral,Suplemento,24.90,Cápsulas orais anti-rugas com péptidos,Redução de rugas de dentro para fora,Péptidos,Disponível,Sim,Diferenciador — combina suplemento com cosmético tópico
Lipmas SPF 30,Facial,Cuidado dos Lábios,Bálsamo,6.90,Bálsamo labial hidratante com proteção solar SPF30,Hidratação e proteção dos lábios,SPF,Disponível,Talvez,Produto de entrada — preço acessível mas baixo impacto visual
RF Face Device,Dispositivos,Dispositivo Facial,Dispositivo,79.90,Dispositivo de radiofrequência facial para uso doméstico,Flacidez facial / Anti-rugas / Firmeza,Radiofrequência,Disponível,Sim,Alto impacto visual em vídeo — ideal para Reels de demonstração
RF Face Device Plus,Dispositivos,Dispositivo Facial,Dispositivo,112.90,Dispositivo avançado de radiofrequência facial,Flacidez facial avançada / Anti-envelhecimento intensivo,Radiofrequência,Disponível,Sim,Versão premium — bom para influencers de lifestyle premium
RF Eye Device,Dispositivos,Dispositivo Ocular,Dispositivo,60.90,Dispositivo de radiofrequência específico para a zona dos olhos,Contorno dos olhos / Olheiras / Pálpebras,Radiofrequência,Disponível,Sim,Nicho específico — muito apelativo para público +40
LED Mask Device,Dispositivos,Dispositivo Facial,Dispositivo,122.90,Máscara LED de terapia anti-envelhecimento,Anti-envelhecimento / Luminosidade / Regeneração,Terapia LED,Disponível,Sim,Produto visualmente impactante — alto potencial viral em Reels
Beautymas Device,Dispositivos,Dispositivo Facial,Dispositivo,48.90,Dispositivo LED anti-envelhecimento compacto,Anti-envelhecimento / Cuidado facial,Terapia LED,Disponível,Talvez,Versão mais acessível da LED Mask
Neck Rejuvenation Device,Dispositivos,Dispositivo Pescoço,Dispositivo,43.90,Dispositivo de rejuvenescimento específico para pescoço e papada,Pescoço / Papada / Firmeza do decote,,Disponível,Sim,Zona muito procurada por mulheres +40 — bom diferenciador
Hairmas Device,Dispositivos,Dispositivo Capilar,Dispositivo,112.90,Dispositivo de secagem e modelação capilar profissional,Styling e secagem capilar,,Disponível,Talvez,Fora do core dermo — avaliar fit com influencers de beleza total
RF Body Device,Dispositivos,Dispositivo Corporal,Dispositivo,99.90,Dispositivo de radiofrequência para uso corporal doméstico,Celulite / Flacidez corporal,Radiofrequência,Disponível,Sim,Para influencers focadas em corpo e bem-estar
Lipomas Device,Dispositivos,Dispositivo Corporal,Dispositivo,89.90,Aparelho de lipoaspiração 2 em 1,Celulite / Lipoaspiração não invasiva,,Disponível,Talvez,Produto novo — sem reviews ainda
RF Body Firming 1000ml,Corporal,Creme Corporal,Creme,28.90,Creme firmador corporal com radiofrequência 1000ml,Flacidez corporal / Firmeza,Radiofrequência,Disponível,Sim,Produto mais vendido da marca (3.933 reviews) — excelente para primeiras parcerias
RF Body Slim 500ml,Corporal,Creme Anticelulite,Creme,26.90,Creme anticelulite com radiofrequência 500ml,Celulite / Perda de volume,Radiofrequência,Disponível,Sim,1.570 reviews — muito credível para parcerias de corpo
RF Body Slim 1000ml,Corporal,Creme Anticelulite,Creme,36.90,Creme anticelulite com radiofrequência 1000ml,Celulite / Perda de volume,Radiofrequência,Disponível,Sim,Tamanho profissional do bestseller
RF Chestmas 500ml,Corporal,Creme Corporal,Creme,26.90,Creme firmador específico para busto,Firmeza do peito / Decote,,Disponível,Sim,Nicho muito específico — influencers de estilo de vida feminino +35
RF Stremas 500ml,Corporal,Creme Corporal,Creme,27.90,Creme anti-estrias com radiofrequência 500ml,Estrias / Pele pós-gravidez,Radiofrequência,Disponível,Sim,Muito apelativo para influencers de maternidade / pós-parto
Body Slim Patch x3,Corporal,Patches,Patches,59.90,Pack 3 caixas de patches anticelulite (84 unidades),Celulite / Tratamento localizado,,Disponível,Sim,Produto inovador — ótimo para conteúdo de unboxing e "antes e depois"
Oral Slim 90 cápsulas,Corporal,Suplemento Oral,Suplemento,21.90,Cápsulas orais anti-celulite para tratamento de dentro para fora,Celulite / Drenagem,,Disponível,Sim,Abordagem inside-out diferenciadora
Lipomas Gel,Corporal,Gel Anticelulite,Gel,29.90,Gel especial anti-celulite para uso com Lipomas Device,Celulite avançada,,Esgotado,Não,Produto esgotado — não usar em parcerias até haver stock
Tratamento de lipoaspiração para celulite,Corporal,Pack Tratamento,Pack,119.80,Pack lipoaspiração não invasiva para celulite,Celulite intensa,,Esgotado,Não,Pack esgotado — não usar em parcerias
Recipiente de Recarga 100ml,Corporal,Acessório,Acessório,4.00,Frasco de viagem para recarregar produtos,Praticidade / Travel size,,Disponível,Não,Acessório sem relevância para parcerias
Hairmas Shampoo 500g,Cabelo,Shampoo,Shampoo,11.90,Champô de reparação profissional,Cabelo danificado / Frizz / Brilho,,Disponível,Talvez,Só para influencers com foco em beleza completa (não apenas skincare)
Hairmas Conditioner 400g,Cabelo,Condicionador,Condicionador,10.90,Condicionador de reparação profissional,Cabelo danificado / Hidratação capilar,,Disponível,Talvez,Complemento do shampoo
Hairmas Mask 300g,Cabelo,Máscara Capilar,Máscara,11.50,Máscara de reparação profissional capilar,Reparação intensa capilar,,Disponível,Talvez,Bom para rotinas capilares mas fora do core da marca
Oral Headmas,Cabelo,Suplemento Oral,Suplemento,19.50,Gomas para cabelo e unhas,Queda de cabelo / Unhas frágeis / Crescimento,,Disponível,Sim,Apelo amplo a mulheres +35 — queda de cabelo é preocupação comum
RF Tratamento de Flacidez Corporal,Tratamentos,Pack Corporal,Pack,128.80,Pack tratamento RF flacidez corporal (creme + dispositivo),Flacidez corporal completa,Radiofrequência,Disponível,Sim,Pack completo com boa relação preço-resultado
Tratamento Anticelulite 500ml,Tratamentos,Pack Corporal,Pack,126.80,Pack anticelulite RF 500ml (creme + dispositivo),Celulite completa,Radiofrequência,Disponível,Sim,Pack para influencers que querem mostrar rotina completa
Tratamento Anticelulite 1000ml,Tratamentos,Pack Corporal,Pack,136.80,Pack anticelulite RF 1000ml (creme + dispositivo),Celulite completa — tamanho profissional,Radiofrequência,Disponível,Sim,Para showcases longos / "30 dias com o produto"
RF Tratamento Anticelulite Completo,Tratamentos,Pack Corporal,Pack,189.60,Pack completo anticelulite RF (produto normal €199.60),Programa completo anti-celulite,Radiofrequência,Disponível,Sim,Desconto ativo — bom para destacar em parceria
RF Tratamento Antiestrias,Tratamentos,Pack Corporal,Pack,127.80,Pack tratamento RF anti-estrias,Estrias / Pele pós-gravidez,Radiofrequência,Disponível,Sim,Nicho pós-gravidez / maternidade
Tratamento de corpo inteiro RF,Tratamentos,Pack Corporal,Pack,147.90,Pack completo de tratamento RF para todo o corpo (normal €155.70),Flacidez e celulite em simultâneo,Radiofrequência,Disponível,Sim,Desconto ativo — pack mais abrangente
Tratamento completo RF,Tratamentos,Pack Corporal,Pack,249.40,Pacote mais completo de RF (normal €262.50),Programa total anti-envelhecimento corporal,Radiofrequência,Disponível,Talvez,Preço elevado — para influencers premium com audiência de alto poder de compra
RF Tratamento de Flacidez Facial,Tratamentos,Pack Facial,Pack,106.80,Pack tratamento RF flacidez facial (creme + dispositivo),Flacidez facial / Anti-rugas,Radiofrequência,Disponível,Sim,Pack de entrada facial — excelente para primeiras parcerias
RF Plus Tratamento de Flacidez Facial,Tratamentos,Pack Facial,Pack,139.80,Pack avançado RF flacidez facial,Flacidez facial avançada,Radiofrequência,Disponível,Sim,Versão premium do pack facial
RF Anti-Rugas Facial Plus,Tratamentos,Pack Facial,Pack,166.00,Pack avançado RF anti-rugas facial com dispositivo Plus,Anti-rugas intensivo,Radiofrequência,Disponível,Sim,Para influencers focadas em anti-aging premium
Tratamento Contorno dos Olhos RF,Tratamentos,Pack Facial,Pack,95.80,Pack RF contorno dos olhos,Olheiras / Pálpebras / Rugas finas,Radiofrequência,Disponível,Sim,Zona +35 — muito apelativo para o público-alvo
Tratamento Contorno dos Olhos RF Intensivo,Tratamentos,Pack Facial,Pack,140.70,Pack RF intensivo contorno olhos com microagulhas,Olheiras e pálpebras intensivo,Radiofrequência,Disponível,Sim,Tratamento avançado — para influencers de resultados
Tratamento Anti-Rugas Contorno Olhos RF,Tratamentos,Pack Facial,Pack,76.80,Pack RF anti-rugas contorno dos olhos com patches,Rugas finas / Olheiras,Radiofrequência,Disponível,Sim,Pack acessível com patches — bom para unboxing
Tratamento Anti-Rugas Contorno Olhos RF Plus,Tratamentos,Pack Facial,Pack,128.80,Pack avançado RF anti-rugas contorno olhos com patches,Rugas avançadas / Olheiras intensas,Radiofrequência,Disponível,Sim,Versão premium do pack de olhos
Tratamento Anti-Rugas e Firmeza Olhos RF Plus,Tratamentos,Pack Facial,Pack,147.90,Pack RF anti-rugas e firmeza olhos com patches e creme firmador,Rugas + Flacidez ocular,Radiofrequência,Disponível,Sim,Pack mais completo para zona ocular
Tratamento Flacidez Facial Extra Colagénio,Tratamentos,Pack Facial,Pack,122.70,Pack RF flacidez facial com máscara de colagénio,Flacidez + Hidratação intensiva,Radiofrequência + Colagénio,Disponível,Sim,Combinação RF + colagénio — conteúdo rico para influencers
Tratamento Flacidez Facial Extra Colagénio Plus,Tratamentos,Pack Facial,Pack,147.90,Pack avançado RF flacidez facial com máscara de colagénio,Flacidez avançada + Hidratação intensiva,Radiofrequência + Colagénio,Disponível,Sim,Versão premium do pack colagénio
Tratamento Hidratação e Firmeza RF,Tratamentos,Pack Facial,Pack,95.80,Pack RF hidratação e firmeza com máscara de colagénio,Hidratação + Firmeza facial,Radiofrequência + Colagénio,Disponível,Sim,Equilíbrio entre acessibilidade e eficácia
Tratamento Hidratação e Firmeza RF Plus,Tratamentos,Pack Facial,Pack,128.80,Pack avançado RF hidratação e firmeza com máscara de colagénio,Hidratação intensa + Firmeza,Radiofrequência + Colagénio,Disponível,Sim,Versão premium da hidratação com RF
Tratamento Rugas e Flacidez RF,Tratamentos,Pack Facial,Pack,131.70,Pack RF anti-rugas e flacidez com péptidos,Anti-rugas + Flacidez facial,Radiofrequência + Péptidos,Disponível,Sim,Péptidos + RF — combinação premium
Tratamento Rugas e Flacidez RF Plus,Tratamentos,Pack Facial,Pack,156.50,Pack avançado RF anti-rugas e flacidez com péptidos,Anti-rugas avançado + Flacidez,Radiofrequência + Péptidos,Disponível,Sim,Versão premium da combinação péptidos + RF
Tratamento Rejuvenescimento do Pescoço,Tratamentos,Pack Corporal,Pack,70.80,Pack rejuvenescimento do pescoço e papada,Pescoço / Papada / Firmeza decote,,Disponível,Sim,Zona muito procurada por mulheres +40
Tratamento Pele Radiante,Tratamentos,Pack Facial,Pack,148.00,Pack LED anti-envelhecimento de tratamento intensivo,Anti-envelhecimento global / Luminosidade,Terapia LED,Disponível,Sim,LED + skincare — potencial viral visual
Tratamento Anti-Envelhecimento Preventivo,Tratamentos,Pack Facial,Pack,73.80,Pack prevenção de rugas manchas e linhas de expressão,Prevenção anti-envelhecimento precoce,,Disponível,Sim,Para audiência +35 que quer prevenir antes de tratar
Tratamento Reparação Capilar,Tratamentos,Pack Capilar,Pack,34.30,Pack anti-quebra cabelo brilhante e sedoso,Cabelo danificado / Quebra / Brilho,,Disponível,Talvez,Só para influencers de beleza total
Tratamento Reparação e Anti-Frizz Capilar,Tratamentos,Pack Capilar,Pack,147.20,Rotina completa de cabelo com secador incluído,Frizz / Danos capilares / Styling,,Disponível,Talvez,Pack premium capilar com dispositivo incluído
Cremes Corporais RF 500ml,Tratamentos,Pack Corporal,Pack,55.80,Pack cremes firmador + anticelulite RF 500ml,Flacidez + Celulite em simultâneo,Radiofrequência,Disponível,Sim,Pack duo — bom para rotinas corporais completas
